Month,Entire home,Private room,Shared room
Jan,9828,7944,316
Feb,16908,12625,365
Mar,23975,17004,494
Apr,23788,14535,310
May,25053,14156,265
June,25114,13844,252
July,23838,12304,238
Aug,23471,12094,241
Sep,23466,12168,240
Oct,22953,12121,274
Nov,22479,11583,264
Dec,23241,11877,289
