Month,Low Prices,Avg Prices,Peak Prices
Jan,10,227.39,10000.00
Feb,10,218.99,9999.00
Mar,10,215.29,9865.00
Apr,10,212.96,9865.00
May,10,212.44,6127.00
June,10,225.06,7772.00
July,10,233.45,10000.00
Aug,10,231.57,10000.00
Sep,10,229.24,10000.00
Oct,10,221.96,10000.00
Nov,30,224.48,10000.00
Dec,30,221.44,10000.00
